Year,Month,Tier,Name,Author name,Deck link,Deck list
2022,5,1,Esper Raffine,Simon Nielsen,https://www.mtgtop8.com/event?e=36445&d=474469&f=ST,"4 Brightclimb Pathway
4 Clearwater Pathway
3 Deserted Beach
1 Eiganjo, Seat of the Empire
3 Hengegate Pathway
2 Hive of the Eye Tyrant
1 Plains
4 Raffine's Tower
2 Shattered Sanctum
2 Shipwreck Marsh
4 Luminarch Aspirant
4 Raffine, Scheming Seer
4 Tenacious Underdog
1 Emeria's Call
3 Infernal Grasp
1 Spell Pierce
4 Vanishing Verse
1 Kaito Shizuki
1 Lolth, Spider Queen
1 Sorin the Mirthless
2 The Meathook Massacre
4 The Wandering Emperor
4 Wedding Announcement
Sideboard
1 Lolth, Spider Queen
1 The Meathook Massacre
3 Archon of Emeria
2 Disdainful Stroke
1 Liesa, Forgotten Archangel
3 Negate
3 Ray of Enfeeblement
1 Reckoner Bankbuster
"
2022,5,2,Naya Runes Aggro,Daniel Goetschel,https://www.mtgtop8.com/event?e=36445&d=474470&f=ST,"1 Boseiju, Who Endures
4 Branchloft Pathway
4 Cragcrown Pathway
1 Eiganjo, Seat of the Empire
1 Forest
2 Lair of the Hydra
4 Needleverge Pathway
1 Plains
4 Sundown Pass
4 Generous Visitor
4 Jukai Naturalist
4 Kami of Transience
4 Runeforge Champion
4 Commune with Spirits
2 Circle of Confinement
4 Fable of the Mirror-Breaker
4 Rune of Might
2 Rune of Speed
2 Rune of Sustenance
4 Showdown of the Skalds
Sideboard
1 Plains
2 Brutal Cathar
4 Portable Hole
2 Skyclave Apparition
2 Tamiyo's Safekeeping
2 Valorous Stance
2 Yasharn, Implacable Earth
"
2022,5,3,Temur Control,Kazune Kosaka,https://www.mtgtop8.com/event?e=36445&d=474475&f=ST,"4 Barkchannel Pathway
1 Boseiju, Who Endures
4 Cragcrown Pathway
2 Dreamroot Cascade
1 Hall of Storm Giants
1 Island
1 Mountain
1 Otawara, Soaring City
4 Riverglide Pathway
4 Rockfall Vale
2 Stormcarved Coast
2 Galazeth Prismari
3 Goldspan Dragon
4 Titan of Industry
1 Burn Down the House
3 Dragon's Fire
4 Expressive Iteration
2 Fading Hope
1 Flame-Blessed Bolt
3 Jwari Disruption
2 Memory Deluge
2 Negate
1 Spikefield Hazard
1 Thundering Rebuke
1 Battle of Frost and Fire
4 Fable of the Mirror-Breaker
1 Reckoner Bankbuster
Sideboard
1 Fading Hope
2 Flame-Blessed Bolt
1 Reckoner Bankbuster
3 Disdainful Stroke
2 Esika's Chariot
2 Hullbreaker Horror
2 Koma, Cosmos Serpent
2 Prismari Command
"
2022,5,3,Weenie White,Liamjsx,https://www.mtgtop8.com/event?e=36445&d=474471&f=ST,"4 Cave of the Frost Dragon
1 Crawling Barrens
2 Eiganjo, Seat of the Empire
17 Plains
2 Adeline, Resplendent Cathar
4 Brutal Cathar
4 Elite Spellbinder
4 Hopeful Initiate
2 Intrepid Adversary
4 Luminarch Aspirant
1 Skyclave Apparition
4 Thalia, Guardian of Thraben
4 Usher of the Fallen
2 Maul of the Skyclaves
2 Portable Hole
3 The Wandering Emperor
Sideboard
1 Maul of the Skyclaves
2 Portable Hole
1 The Wandering Emperor
4 Divine Smite
1 Fateful Absence
2 Guardian of Faith
2 Paladin Class
2 Reidane, God of the Worthy
"
2022,5,3,Mono Green Aggro,Ciervax,https://www.mtgtop8.com/event?e=36445&d=474472&f=ST,"1 Boseiju, Who Endures
3 Lair of the Hydra
19 Snow-Covered Forest
2 Ascendant Packleader
1 Jewel Thief
3 Kazandu Mammoth
4 Old-Growth Troll
4 Sculptor of Winter
3 Ulvenwald Oddity
4 Werewolf Pack Leader
4 Blizzard Brawl
2 Inscription of Abundance
3 Invoke the Ancients
4 Esika's Chariot
2 Ranger Class
1 Unnatural Growth
Sideboard
1 Unnatural Growth
2 Broken Wings
2 Fang of Shigeki
2 Master's Rebuke
2 Snakeskin Veil
2 Tamiyo's Safekeeping
1 Vorinclex, Monstrous Raider
2 Workshop Warchief
"
2022,5,3,Izzet Control,David Inglis,https://www.mtgtop8.com/event?e=36445&d=474476&f=ST,"1 Hall of Storm Giants
3 Island
5 Mountain
2 Otawara, Soaring City
4 Riverglide Pathway
1 Sokenzan, Crucible of Defiance
4 Stormcarved Coast
4 Goldspan Dragon
3 Lier, Disciple of the Drowned
4 Big Score
4 Expressive Iteration
2 Fading Hope
3 Galvanic Iteration
3 Jwari Disruption
1 March of Swirling Mist
1 Sejiri Shelter
2 Show of Confidence
4 Spikefield Hazard
2 Unexpected Windfall
3 Voltage Surge
4 Fable of the Mirror-Breaker
Sideboard
1 Fading Hope
1 March of Swirling Mist
1 All-Seeing Arbiter
2 Behold the Multiverse
1 Burn Down the House
1 Cinderclasm
2 Disdainful Stroke
2 Dragon's Fire
1 Hullbreaker Horror
1 Negate
1 Spell Pierce
1 Test of Talents
"
2022,5,3,Boros Justice,signblindman,https://www.mtgtop8.com/event?e=36445&d=474474&f=ST,"1 Eiganjo, Seat of the Empire
4 Furycalm Snarl
1 Jetmir's Garden
1 Mountain
4 Needleverge Pathway
6 Plains
4 Sundown Pass
4 Sanctuary Warden
3 Velomachus Lorehold
1 Angelfire Ignition
1 Banishing Slash
1 Doomskar
4 Dragon's Fire
4 Emeria's Call
4 Invoke Justice
4 Thrilling Discovery
4 Fable of the Mirror-Breaker
2 Portable Hole
4 The Restoration of Eiganjo
3 The Wandering Emperor
Sideboard
1 Angelfire Ignition
2 Banishing Slash
2 Doomskar
2 Portable Hole
3 Circle of Confinement
3 Reckoner Bankbuster
2 Unlicensed Hearse
"
2022,5,3,Jund,Cabezadebolo,https://www.mtgtop8.com/event?e=36445&d=474473&f=ST,"4 Blightstep Pathway
4 Cragcrown Pathway
2 Darkbore Pathway
2 Deathcap Glade
1 Forest
2 Haunted Ridge
2 Hive of the Eye Tyrant
4 Rockfall Vale
1 Swamp
4 Ziatora's Proving Ground
4 Bloodtithe Harvester
4 Tenacious Underdog
1 Titan of Industry
3 Workshop Warchief
1 Infernal Grasp
3 Riveteers Charm
2 Unleash the Inferno
4 Voltage Surge
4 Esika's Chariot
4 Fable of the Mirror-Breaker
2 Ob Nixilis, the Adversary
2 The Meathook Massacre
Sideboard
1 Titan of Industry
1 Riveteers Charm
1 The Meathook Massacre
2 Binding the Old Gods
1 Burn Down the House
4 Duress
1 Lolth, Spider Queen
4 Ray of Enfeeblement
"
2022,4,1,Weenie White,Lennny,https://www.mtgtop8.com/event?e=35894&d=470493&f=ST,"3 The Wandering Emperor
2 Portable Hole
4 Usher of the Fallen
4 Thalia, Guardian of Thraben
2 Skyclave Apparition
4 Luminarch Aspirant
2 Legion Angel
2 Intrepid Adversary
4 Hopeful Initiate
4 Elite Spellbinder
3 Brutal Cathar
2 Adeline, Resplendent Cathar
16 Plains
2 Eiganjo, Seat of the Empire
3 Crawling Barrens
3 Cave of the Frost Dragon
Sideboard
1 Wedding Announcement
2 Reidane, God of the Worthy
1 March of Otherworldly Light
2 Guardian of Faith
2 Fateful Absence
1 The Wandering Emperor
1 Portable Hole
2 Skyclave Apparition
2 Legion Angel
1 Brutal Cathar
"
2022,4,1,Orzhov Control,Michael Byrd,https://www.mtgtop8.com/event?e=35894&d=470494&f=ST,"4 Wedding Announcement
4 The Wandering Emperor
3 The Meathook Massacre
2 Reckoner Bankbuster
2 Vanishing Verse
4 Rite of Oblivion
4 Invoke Despair
2 Hagra Mauling
2 Emeria's Call
4 Deadly Dispute
2 Shambling Ghast
1 Legion Angel
4 Eyetwitch
1 Archon of Emeria
1 Takenuma, Abandoned Mire
3 Swamp
2 Shineshadow Snarl
4 Shattered Sanctum
2 Plains
4 Hive of the Eye Tyrant
1 Eiganjo, Seat of the Empire
4 Brightclimb Pathway
Sideboard
1 Pest Summoning
1 Necrotic Fumes
1 Mascot Exhibition
2 Go Blank
1 Environmental Sciences
3 Check for Traps
3 Legion Angel
3 Archon of Emeria
"
2022,4,1,Naya Runes Aggro,Dominick Paolercio,https://www.mtgtop8.com/event?e=35894&d=470492&f=ST,"4 Branchloft Pathway
1 Boseiju, Who Endures
4 Showdown of the Skalds
3 Rune of Sustenance
3 Rune of Speed
4 Rune of Might
4 Fable of the Mirror-Breaker
3 Commune with Spirits
4 Runeforge Champion
4 Kami of Transience
4 Jukai Naturalist
4 Generous Visitor
4 Sundown Pass
2 Overgrown Farmland
4 Needleverge Pathway
2 Lair of the Hydra
1 Forest
4 Cragcrown Pathway
1 Cave of the Frost Dragon
Sideboard
1 The Wandering Emperor
2 Tamiyo's Safekeeping
1 Skyclave Apparition
1 Rip Apart
1 Reidane, God of the Worthy
1 Ranger Class
3 Portable Hole
1 Guardian of Faith
3 Elite Spellbinder
1 Circle of Confinement
"
2022,4,2,Selesnya Aggro,Arne Huschenbeth,https://www.mtgtop8.com/event?e=35894&d=470495&f=ST,"2 Wrenn and Seven
4 Wedding Announcement
4 The Wandering Emperor
4 Esika's Chariot
1 Starnheim Unleashed
3 Emeria's Call
2 Yasharn, Implacable Earth
4 Welcoming Vampire
2 Tangled Florahedron
4 Skyclave Apparition
4 Prosperous Innkeeper
4 Luminarch Aspirant
1 Legion Angel
6 Plains
4 Overgrown Farmland
1 Lair of the Hydra
3 Forest
1 Eiganjo, Seat of the Empire
1 Cave of the Frost Dragon
4 Branchloft Pathway
1 Boseiju, Who Endures
Sideboard
2 Valorous Stance
1 Reidane, God of the Worthy
2 Guardian of Faith
2 Elite Spellbinder
4 Circle of Confinement
1 Yasharn, Implacable Earth
3 Legion Angel
"
